country,winery,variety,points,price,description
France,Clos de L'Oratoire des Papes,Rhne-style White Blend,90,60,"Gingery spice notes accent fresh pear and melon fruit in this medium- to full-bodied wine. It's round on the palate but not flabby, with a warm, spicy finish. Drink now."
Italy,Avignonesi,Sangiovese,90,29,"Aromas of forest floor, violet, red berry and a whiff of dark baking spice unfold in the glass while wild cherry, black raspberry, ground pepper and star anise drive the palate. Framed in firm, fine-grained tannins, this is a classic Tuscan red. Drink through 2020."
Italy,Casina di Cornia,Sangiovese,90,23,"This has a charming nose that boasts rose, violet and red berry while the juicy, easy-drinking palate offers ripe wild cherry, chopped mint, white pepper and a hint of star anise. There isn't much complexity but it is savory and balanced, with fresh acidity and supple tannins."
Italy,Castello di Monterinaldi,Red Blend,90,29,"This bright, savory wine delivers aromas and flavors of juicy wild cherry, black raspberry, violet, white pepper and mocha. Polished tannins provide the framework. Enjoy through 2020."
Spain,Don Bernardino,Menc_a,90,17,"Earthy plum and cherry aromas score points for being clear and direct. The palate on this varietal Menc_a is round, smooth and just right. Lightly briny, earthy plum and cherry flavors hold steady on the finish, with a dash of saltiness."
Spain,Gonzlez Byass,Palomino,90,26,"This comes across wide and expansive as it lazily exudes oily aromas of hazelnut and toffee. A plump palate is not overly cutting or demanding, while flavors of lightly salted nuts and buttered toast end with toffee and peanut flavors."
US,Huston,Petite Sirah,90,55,"This is an aromatic brooder with aromas of scorched earth, plum, dried flowers and green herbs. It's full in feel with dense, dark-fruit flavors, tightly coiled tannins and tart acids_a pleasing example of the variety."
Italy,Rignana,Red Blend,90,39,"Aromas of dark-skinned berry, rose and wild herb lead the nose. The round, juicy palate doles out ripe black cherry, fleshy raspberry, white pepper and clove while polished tannins provide a smooth, velvety framework. Enjoy through 2019."
France,Tardieu-Laurent,Syrah,90,69,"Dark in color and in flavor profile, this medium-bodied Cornas boasts aromas and flavors reminiscent of chocolate fudge, espresso and plummy fruit, all framed by soft, dusty tannins. Drink now_2025."
Italy,Vignavecchia,Red Blend,90,30,"A blend of 90% Sangiovese and 10% Canaiolo, this opens with aromas of violet, mature plum, espresso and a whiff of forest floor. The firm palate offers dried black cherry, ground pepper, toast and clove while packed, fine-grained tannins provide support. Drink through 2020."
Italy,Banfi,Sangiovese,90,90,"Sunbaked earth, ripe berry, baking spice and a whiff of menthol meld in the glass. The juicy palate offers red cherry, pomegranate, star anise, mocha and a hint of tobacco alongside fine-grained tannins."
US,Brandlin,Cabernet Sauvignon,90,60,"Blended with 9% Malbec, 9% Cabernet Franc and 5% Petit Verdot, this is a perennial classic for the winery, the sister brand of Cuvaison. Juicy in cherry and cassis, it sustains big, pillowy tannins and tar, suggesting more time for the fruit to match up with the structure. Drink through 2020."
Italy,Brunelli Martoccia,Sangiovese,90,50,"Ripe dark-skinned berry, forest floor and cooking spice aromas lead the nose along with a whiff of new leather. The chewy palate offers fleshy black cherry, cinnamon, vanilla and a hint of tobacco while polished tannins provide the framework. This is already accessible so no need to cellar it for years. Best through 2021."
US,Canvasback,Cabernet Sauvignon,90,40,"The aromas of blue fruit, herbs and spice are initially under tight restraint. The flavors are full, with the tannins simultaneously firm and fine grained. It shows good length."
Italy,Capanne Ricci,Sangiovese,90,100,"This robust red opens with aromas of espresso, plum cake, toast and dark spice. The hearty palate offers blackberry jam, licorice, vanilla and mocha alongside firm fine-grained tannins. A coffee note closes the finish."
France,Chartron et Trbuchet,Chardonnay,90,68,"This structured, complex Chardonnay is packed with minerality and considerable weight. The tight texture and almost tannic character will soften over the next few months. Full of potential, it's drinkable now but will be so much better from 2017."
France,Cherrier Frres,Sauvignon Blanc,90,42,"This ripe, full-bodied wine has ripe green fruits that are lifted by lime and made richer by apricot. Still young, with a concentrated structure, it's going to develop into a full, beautifully fruity wine. The name of the wine means the size of a parcel that demands the work of seven men for a day. Drink from 2017."
France,Clement et Florian Berthier,Pinot Noir,90,28,"With its light color and cool feel, this well-balanced wine comes from a parcel of 30-year-old vines. The smoky tannins and intense acidity give a wine that will develop well and slowly. It's still young with its red-berry fruits and fresh aftertaste. Drink from 2018."
US,De Loach,Chardonnay,90,18,"There's a lot to like in this nicely priced white, a blend of several regional vineyards. A taste of hazelnut expands on the palate to meet creamy Tahitian vanilla. Approachably round, this crowd-pleasing wine finishes in measured, integrated oak."
US,DeLille,Cabernet Sauvignon,90,69,"A blend of Cabernet from Grand Ciel (31%), Ciel du Cheval (30%), Upchurch (28%) and Klipsun (11%) vineyards, wood spice aromas start out up front. The cherry flavors are light and elegant, with the tannins bringing some grip."
France,Domaine Vacheron,Sauvignon Blanc,90,,"Delicious while also young and textured, this wine comes from biodynamically grown grapes. It has a strong sense of minerality as well as intense citrus and green fruits. It's tight at the moment and needs to round out, so drink from 2018."
US,Dr. Konstantin Frank,Riesling,90,25,"While exuberantly fruity, almost tropical on the nose, there's a crystalline edge to this dry Riesling that renders it especially refreshing. It's vibrant and light footed, brightened by a lingering honey note on the finish."
US,Efeste,Cabernet Sauvignon-Syrah,90,30,"Cabernet makes up just over half of this blend. Aromas of black cherries, herbs and minerals are followed by plush-feeling dark-fruit flavors and backed by firm tannins. Drink now."
Italy,Fattoria di Magliano,Red Blend,90,60,"This savory blend of 40% Merlot, 30% Cabernet Sauvignon, 25% Cabernet Franc and 5% Syrah opens with aromas of roasted coffee bean, leather, tobacco and dark woodland berry. The chewy palate offers juicy plum, cassis and clove alongside polished tannins. Drink through 2019."
Argentina,Matias Riccitelli,Malbec,91,30,"Concentrated, ripe blackberry and cassis aromas come with peppery spice and cedary oak notes. This is big and generous on the palate, with roasted, well-oaked blackberry flavors. A touch of heat lends sizzle to the finish. Drink through 2020."
Australia,Moorooduc,Pinot Noir,91,36,"Moorooduc's estate Pinot Noir is a solid value among the boutique offerings from the Mornington Peninsula. There's a supple cushioning of flesh wrapped around a firm backbone of acid, while the flavors run from black cherry and mint through earthier notes of brown sugar and roasted parsnip. Drink now through 2020."
Argentina,Navarro Correas,Malbec,91,25,"Smoky aromas of fresh-cut wood blend with berry and cassis form a welcoming, generous bouquet. This feels lively on the palate, albeit tartaric. Oaky plum, cassis and vanilla flavors finish full and agreeable. Drink through 2019."
France,Domaine Chenevires,Chardonnay,91,45,"L'Homme Mort is a northern extension of the Fourchaume Premier Cru vineyard, so called because this was where a local lord dispensed justice by death. It often produces cooler wines such as this. It is tight, with toasted bread hints and with a strongly tangy character. It does need to develop and shouldn't be drunk before 2018."
Portugal,Herdade do Rocim,Portuguese Red,91,23,"This is a super-ripe, still very young wine. It's showing all its concentrated fruits, wood aging flavors and dense texture as well as the firm tannins that will allow it to age. With its combination of black plum skin, blackberry and dark concentration, leave the wine until 2018."
US,Jason-Stephens,Syrah,91,36,"Fresh boysenberries and a blueberry sorbet character mix with notes of minty tarragon, dill and hot gravel on the nose of this wine, from an area between Gilroy and Morgan Hill. Peppercorns are prominent on the relatively light palate, along with tobacco, espresso and boysenberry."
France,Louis Max,Chardonnay,91,38,"The steely character of a young Chablis is very apparent in this wine. It is crisp, lemon flavored and with a mineral edge. The wine has a juicy freshness, still young at heart and needing to age. Drink from 2018."
US,Michael Mondavi Family Estate,Cabernet Sauvignon,91,85,"From the producer's monumental Atlas Peak vineyard, this is a tightly wound, solidly constructed mountain Cab, blended with a handful of Petit Verdot. Tobacco, black tea and a sliver of coconut intermingle around a medium-bodied whole that will benefit from cellaring, through 2021."
US,Panther Creek,Pinot Noir,91,50,"Big, bold, dark and chewy, this builds upon substantial black-cherry fruit and supporting acids. Still knitting together, it shows highlights of cedar and tobacco, along with thick tannins. Give this a couple more years of bottle age, and drink after 2018."
US,Provenance Vineyards,Cabernet Sauvignon,91,60,"A juiciness of cherry and vanilla spark the opening of this wine, a celebration of the vintage, appellation and in this case, fruit-forwardness of the variety. With a backbone of oak and cedar, it has smooth tannins and medium weight, finishing in mocha chocolate. Drink now through 2022."
US,Raymond,Cabernet Sauvignon,91,85,"Sweetened tannins highlight a depth of chocolate and blackberry in this 100% varietal wine made in small amounts. Soft and juicy, it crafts a balance of richness and density around elegant spicy clove and cinnamon."
US,Red Car,Pinot Noir,91,45,"This wine draws from a handful of tremendous vineyard sites, including the producer's estate, Platt and Clary Ranch, all cool-climate and windswept. It's a tight, light and minimally messed-with wine, bright in cherry, pomegranate and rose."
Italy,Silvano Bolmida,Nebbiolo,91,,"This offers aromas of red rose, wild berry, dark cooking spice and a whiff of sun baked earth. The ripe palate offers black cherry marinated in spirits, licorice, game and a hint of chocolate alongside velvety tannins. The warmth of alcohol closes the finish. Drink 2018_2029."
US,Trinity Vineyards,Pinot Gris,91,19,"Massively fruity, this is an apple/pear bonanza, fleshy and almost lasciviously delicious. The huge fruit flavors convey an impression of sweetness, though this is not identified as off dry. It has tremendous density and length."
Portugal,Adega Cooperativa de Borba,Portuguese Red,91,15,"It is the ripe dark Alicante Bouschet that dominates this firmly structured wine. It is packed with tannins along with a hugely dense texture and concentrated juicy berry flavors. It is very firm, still young. Wait until 2017."
US,Archery Summit,Pinot Noir,91,54,"An elegant blend from different estate vineyards, this widely available cuve brings sturdy tannins and red currant fruit, highlighted with pretty baking spices. It would be an ideal match for roast duck with an orange sauce."
France,Aubry,Chardonnay,91,85,"This wine is bone-dry, although with some age the shock of the acidity has been rounded out by a hint of toast. It's linear, fresh and intensely crisp, with citrus and almond tones. Drink this wine from a good vintage now."
US,B Cellars,Sauvignon Blanc,91,38,"Given four months in concrete egg, this is an exotically crisp and textured white, lean and high in acidity with plenty of mouthcoating body to find its balance. Lemon, grapefruit and tangerine are the highlights, finished in refreshing layers of white peach."
US,B Side,Cabernet Sauvignon,91,28,"This wine over-delivers in quality for the price. It's made from mostly Cabernet Sauvignon, with handfuls of Merlot, Malbec, Petit Verdot and Cabernet Franc blended in to good effect. The whole combines into layers of chocolate and graham cracker, dappled in vanilla and jam. Thick tannins suggest a swirl or two of the glass. The finish is all tobacco."
Italy,Bel Colle,Nebbiolo,91,75,"Underbrush, smoke, mocha and dark fruit aromas lead the nose and carry over to the ripe palate along with dried black cherry, licorice and clove. Firm, velvety tannins provide the framework. Drink 2018_2028."
US,Bethel Heights,Pinot Noir,91,42,"Generous black-cherry fruit anchors this barrel-aged wine that remains tartly acidic, with pretty accents of toast and mocha. Focused, young and fresh, it should drink optimally 2018_2028."
Israel,Binyamina,Cabernet Sauvignon,91,25,"Dark red violet in color, this wine has aromas of cherry, lavender and rose petal. It is a well-balanced wine with flavors of black cherry, raspberry, Turkish delight and herbes de Provence. Silky tannins coat the palate into the lasting finish, which is punctuated by a note of bright cherry."
Italy,Ceste,Nebbiolo,91,,"Berry, baking spice, dried iris, mint and a hint of vanilla come together on this structured wine. On the palate, notes of white pepper, sage, anise, orange zest and yellow peach accent the red cherry core while a balsamic note closes the finish. Firm, refined tannins provide the backbone."
Italy,Cascina Cucco,Nebbiolo,91,59,"This hearty red opens with aromas of leafy underbrush, leather, licorice and a hint of menthol. The firm, chewy palate offers ripe wild cherry, raspberry jam, anisette and tobacco. Brooding tannins support the dark flavors. Drink 2019_2029."
Italy,Cascina del Monastero,Nebbiolo,91,85,"Enticing aromas of woodland berry, crushed rose, mint and menthol lead the nose on thisfull-bodied red. Mint carries over to the palate along with wild cherry, red raspberry, kitchen spice and a hint of toast. Assertive tannins and bright acidity hold it all together."
Italy,Cordero di Montezemolo,Nebbiolo,91,80,"Aromas of French oak, coconut, vanilla and spiced plum lead the nose on this powerfully structured wine. The oak sensations carry over to the warm palate along with cherry marinated in spirits, licorice and menthol. Bracing, close-grained tannins provide the framework and need time to unwind. Best after 2020."
France,Domaine Grard Duplessis,Chardonnay,91,45,"This delicious, refreshing wine is textured, tight and mineral, with fruity acidity. Tangy and crisp, it has a tight structure, touches of toast along with apple and citrus flavors. The wine is still young and very tight, so should not be drunk before 2017."
US,Eagle Glen,Cabernet Sauvignon,91,22,"From a multiplicity of vineyards, this wine works and is a tremendous value for the price. It mixes hot mulled-cider spices, cinnamon, clove and pine forest, conveying surprising depth. Plum, dark cherry and more clove lead to a powerful, leathery finish."
US,Eleven Eleven,Pinot Noir,91,65,"The first Pinot Noir release from this producer, this is a velvety-smooth, exotic and charming wine, light on the palate despite a concentration of ripe, rich fruit. Kirsch, cherry, raspberry and cinnamon combine to make the wine invitingly lush and plush."
US,Franciscan,Meritage,91,50,"A red Meritage driven by 73% Cabernet Sauvignon, this structured, full-bodied wine also blends in 19% Merlot, 3% Petit Verdot and 3% Malbec. Blackberry and chocolate accent chalky tannins, with bold hits of black licorice, cassis, pencil and black tea. Drink now through 2020."
US,Belle Ambiance,Cabernet Sauvignon,86,10,"Bright, light oak shadings dress up this medium-bodied wine, complementing the red cherry and strawberry flavors. It's fresh, fruity and not very tannic_easy to drink and enjoy."
Portugal,Adega de Cantanhede,Baga,86,12,"The local Baga grape, better known for producing structured red wines, also lends itself to fruity sparkling ros. Bright acidity gives this crisp wine its tangy, red currant character. Drink now."
Italy,De Stefani,Glera,86,22,"Aromas of white spring flower, orchard fruit and citrus spill out of the glass. The fun lively palate delivers ripe yellow peach and green apple alongside a foaming mousse."
US,Parducci,Chardonnay,86,13,"A smoky scent and earthy, crisp-apple flavors make this medium-bodied wine a change of pace from the average butterball Chardonnay. It has welcome acidity and a nicely smooth texture."
Portugal,Quinta do Portal,Portuguese Red,86,10,"This family-owned estate has produced an immediately attractive entry-level wine. Lightly spiced with wood, it blends Touriga Franca, Tinta Roriz and Tinta Barroca to show black fruit, ripe tannins and bright acidity. Drink now."
France,Rigal,Malbec-Merlot,86,14,"This is a smooth, soft wine that is full of black fruits and ripe tannins. The Merlot rounds out the rougher edges of the Malbec to give a rich juicy wine that will develop quickly. It is all fruit, generous and ready to drink from 2017."
US,The Naked Grape,Chardonnay,86,18,"This is an easygoing wine that's neither too oaky nor too crisp, with a decent blend of ripe pear and baking spice flavors paired with soft, smooth texture."
US,Tin Barn,Cabernet Sauvignon,86,36,"Blended with small amounts of Merlot, Cabernet Franc, Petit Verdot and Malbec, this is an austere, unfussy red made in modest quantities that has crisp red currant and cranberry flavors interwoven with cedar and dried herb."
France,Georges Vigouroux,Merlot-Malbec,86,15,"Closer to Bordeaux than is Cahors, this is Malbec with a cooler visage. It has spice and stalky tannins along with plenty of acidity. The wine is bright with red berry fruits and a crisp lightly mineral aftertaste. Drink from 2018."
France,Georges Vigouroux,Ugni Blanc-Colombard,86,10,"This is a blend of 60% Ugni Blanc and 40% Colombard that gives a deliciously light and refreshing wine. Bright and breezy, it is perfumed, herbal and full of direct citrus flavors. Drink now."
US,Hawk Watch Winery,Viognier,86,24,"Juicy kiwi, lime blossom and sour apple candy aromas show on the nose of this ripe white_the first 2016 submitted from the region. The palate is oily in texture, with honeydew and more lime-kiwi-bubblegum flavors."
US,Hestan,Cabernet Sauvignon,86,50,"Brambly and herbal, this wine shows bright acidity underlying a full-bodied, incoherently ripe palate of tar, toffee and rich cola notes."
Italy,Il Grappolo,Sangiovese,86,45,"The nose is a bit shy but eventually reveals underbrush, red berry and a toasted note. The straightforward palate is quite lean, offering raw sour cherry, a green note of powdered sage and a hint of ground pepper alongside raspy tannins that leave an astringent finish."
US,Ehret,Cabernet Sauvignon-Cabernet Franc,86,48,"This Cabernet Sauvignon-dominant blend boasts leather, tobacco leaf and black pepper flavors, giving it muscle and a rustic edge, the tannins and fruit mellowed with age."
US,EOS,Moscato,86,20,"Fans of stickies may find pleasure in this bottling, but it is tremendously sweet and oily. Candied honeydew and kiwi scents meet with sweet juniper and pine on the nose. On the palate, it tastes squarely of golden honey. It's soft, unctuous and thick in consistency."
US,Martinez & Martinez,Pinot Grigio,86,17,"Aromas of ripe (leaning almost overripe) apple, melon and orange peel are followed by medium-sweet fruit flavors. It needs more acid to stand it up."
US,Ironstone,Cabernet Franc,86,12,"Strong wood smoke and grilled meat aromas lead to equally assertive oak and dried herb flavors, giving this wine extreme personality. It has medium body and rather soft tannins and texture to balance."
US,Leaping Horse,Chardonnay,86,10,"This medium-bodied wine has more earthy and floral flavors than straightforward fruit, so it's something a bit different. Well-priced and easy to drink, it can please a crowd."
US,Kitchen Sink,White Blend,86,13,"This wine is dry and substantial, emphasizing earthy, savory flavors over fruity ones. An attractive walnut and almond element carries through from the aroma to the flavors."
US,Kuleto Estate,Chardonnay,86,45,"This is from a hillside estate vineyard and is entirely barrel fermented, its oak subtle and supportive. Medium bodied and not overripe, it offers honeysuckle aromas and lime and lemon rind flavors."
Portugal,Wines & Winemakers,Portuguese Red,86,12,"This state-owned estate of forests and vineyards grows organic grapes. This wine, softly structured and ripe has light black fruits and plenty of acidity. An undercurrent of tannin keeps the wine in order and will allow it to age. Drink from 2018."
Argentina,Zorzal,Ros,86,12,"This copper-tinted ros of Pinot Noir smells like a rubber gym ball and citrus fruits. A full round bouncy palate brings it around, while dry citrus and stone-fruit flavors show a skins-like quality on a steady finish."
US,Charles Krug,Cabernet Sauvignon,86,125,"This mountain-grown wine is hugely tannic and oaky, hard to penetrate in its full-bodied ripeness. Smoky oak and currant flavors vie for attention against a backdrop of concentration and power."
US,Millbrook,Riesling,86,25,"Savory apples and pears mingle into lemon and bramble in this slightly earthy off-dry Riesling. Sunny tangerine acidity is easy but bright, leading a delicately sweet finish."
South Africa,Waterkloof,Sauvignon Blanc,86,20,"Muted aromas of tart gooseberry and lime peel dance in the bouquet, while pithy flavors of plum skin, currant and citrus rind unfold on the lightweight, slightly astringent palate. Pleasant hints of fresh herbs and saline make a fleeting impression on the close."
Argentina,Vialba,Malbec,86,15,"Aromas of prune, raisin and black plum are full and gritty. A chunky full-bodied palate feels grabby, while this tastes of generic blackberry, burnt coffee and dark chocolate. A steady plump, rubbery finish closes the show."
Spain,Casa de la Ermita,Monastrell,86,,"Aromas of brandied cherry and crme de cassis include a horsey sidenote and some heat. This sweet Monastrell smacks the palate with hard tannins. Flavors of black cherry, cassis and baked plum finish blocky."
France,Chteau Clment Termes,Ros,86,20,"This pale pink-grey colored wine is a blend of Duras and Merlot. It is lively and fruity, with a red-currant flavor, delicious crisp acidity and a soft, lively aftertaste. Drink now."
France,Chteau Coutinel,Gamay,86,15,This softly fruity wine has the lightest of tannins and plenty of simple red-berry fruits. There is an earthy edge to the young wine as well as plenty of acidity at the end. Drink now.
